Name,Candidate_ID__c,Email__c,First_Name__c,Last_Name__c,Phone__c,Status__c,Job__c
Bo Mangels,1,bo.mangels@gmail.com,Bo,Mangels,415 555 5555,Reviewing,3
Marc Benioff,2,,Marc,Benioff,(415) 555-5555,Reviewing,4
Michael Flynn,3,,Michael,Flynn,(289) 489-2894,Created,5
Alice Montgomery,4,,Alice,Montgomery,(858) 132-0063,Created,8
Bruce Webb,5,,Bruce,Webb,(145) 211-8861,Not Hired,1
Wayne Walker,6,,Wayne,Walker,(548) 106-6628,Reviewing,3
Doris Kelly,7,,Doris,Kelly,(784) 730-1969,Not Hired,8
Judy Gutierrez,8,,Judy,Gutierrez,(303) 600-4911,Created,3
Raymond Kelly,9,,Raymond,Kelly,(513) 213-0502,Hired,4
Lisa Duncan,10,,Lisa,Duncan,(806) 969-9668,Offer,2
Ruby Wallace,11,,Ruby,Wallace,(964) 351-8619,Reviewing,1
Brenda Duncan,12,,Brenda,Duncan,(972) 156-1098,Not Hired,7
Kelly Wells,13,,Kelly,Wells,(104) 176-6456,Not Hired,6
Bo Mangels,14,,Bo,Mangels,(415) 555-5555,Reviewing,2
Paul Brown,15,,Paul,Brown,(789) 953-1989,Created,7
Michelle Bryan,16,,Michelle,Bryan,(298) 427-9965,Hired,3
Norma Carr,17,,Norma,Carr,(625) 541-3960,Created,7
Dennis Jackson,18,,Dennis,Jackson,(218) 728-3154,Created,8
Anne Castillo,19,,Anne,Castillo,(898) 248-2926,Hired,6
Robert Anderson,20,,Robert,Anderson,(429) 560-4801,Not Hired,3
Billy Harrison,21,,Billy,Harrison,(700) 625-1890,Hired,2
Donald Bryant,22,,Donald,Bryant,(315) 436-7919,Not Hired,5
Cynthia Alvarez,23,,Cynthia,Alvarez,62-(828)516-8491,Created,3
Susan Sims,24,,Susan,Sims,33-(456)377-2811,Created,5
Clarence Mills,25,,Clarence,Mills,(729) 621-4074,Created,2
Charles Johnston,26,,Charles,Johnston,62-(104)665-7290,Created,1
Jennifer Mills,27,,Jennifer,Mills,(661) 568-4817,Reviewing,4
Ralph Jordan,28,,Ralph,Jordan,(417) 162-5659,Offer,2
